Master Builder Academy,[0303eccc-899f-4906-a312-3982b48bd44e]
      1562,[Basic Building Set]
      1961,[Basic Set with Storage Case]
      1962,[Basic Building Set]
      1511,[Basic Building Set]
      527,[Basic Building Set]
      3042,[Basic Building Set]
      391,[Police Car]
      393,[Tow Truck]
      50,[Basic Building Set, 3+]
      503,[Basic Building Set, 5+]
      504,[Basic Building Set, 5+]
      507,[Basic Building Set, 5+]
      508,[Basic Building Set, 5+]
      510,[Basic Building Set, 5+]
      515,[Basic Building Set, 5+]
      520,[Basic Building Set, 5+]
      525,[Basic Building Set, 5+]
      530,[Basic Building Set, 5+]
      533,[Basic Building Set, 5+]
      535,[Basic Building Set, 5+]
      540,[Basic Building Set, 5+]
      544,[Basic Building Set, 5+]
      545,[Basic Building Set, 5+]
      547,[Basic Building Set, 5+]
      550,[Basic Building Set, 5+]
      555,[Basic Building Set, 5+]
      557,[Basic Building Set, 5+]
      565,[Basic Building Set, 5+]
      566,[Basic Building Set, 5+]
      577,[Basic Building Set, 5+]
      599,[Basic Building Set, 5+]
      7,[Basic Building Set, 3+]
      710,[Basic Building Set, 7+]
      715,[Basic Building Set, 7+]
      1524,[Basic Building Set]
      720,[Basic Building Set, 7+]
      722,[Universal Building Set, 7+]
      725,[Basic Building Set, 7+]
      730,[Basic Building Set, 7+]
      733,[Universal Building Set, 7+]
      735,[Basic Building Set, 7+]
      740,[Basic Building Set, 7+]
      744,[Universal Building Set with Motor, 7+]
      1548,[Helicopter]
      8,[Basic Building Set, 3+]
      1551,[Duck]
      1598,[Trial Size Offer]
      1599,[Airliner]
      1602,[Basic Set 3+]
      1609,[Ship]
      9,[Basic Building Set, 3+]
      910,[Advanced Basic Set, 6+]
      911,[Advanced Basic Set, 6+]
      912,[Advanced Basic Set with Motor, 6+]
      1617,[Small Bucket]
      1636,[Handy Bucket of Bricks, 3+]
      1637,[Basic Building Set, 3+]
      1638,[Basic Set]
      4038,[Fun Flyer]
      1642,[Sea Eagle]
      1643,[Lightning Striker]
      1644,[Wind Whirler]
      1645,[Gyro Bird]
      1646,[Land Laser]
      1647,[Turbo Force]
      1648,[Swamp  Stinger]
      1649,[Sea Skimmer]
      1652,[Mini Box, 5+]
      4214,[My Little Farm]
      4220,[Brick Pack 200]
      4224,[My Home Bucket]
      4226,[Freestyle Bucket]
      1666,[Brick Vac]
      1668,[Special Offer Trial Size]
      1670,[Trial Size Box]
      1671,[Trial Size Box]
      2195,[JUBEL 3+ BULK]
      1678,[Building Set 5+, Special Offer]
      1688,[Large Play Bucket, 3+]
      1698,[Basic Building Set 3+, Special Offer]
      1708,[Blue Ribbon Savings!]
      1707,[20th Anniversary Jackpot Bucket]
      1776,[Bonus Value Bucket]
      1606,[Red and Yellow Car]
      1607,[Helicopter]
      1545,[Build-A-Rabbit]
      1964,[Basic Building Set]
      4249,[Suitcase Set]
      1965,[Building Set, Trial Size Offer]
      1743,[Standard Bricks, 5+]
      1745,[Standard Bricks, 3+]
      1769,[Prop plane]
      1777,[Plane]
      1778,[Boat]
      1779,[Helicopter]
      1661,[Basic Building Set]
      1880,[5+ Bucket]
      1910,[3+ Building Set]
      2494,[Purple Bucket Set]
      1901,[Trial Size Offer]
      1905,[Mini Building Set]
      1575,[Basic Set 5+ with Board Game]
      1963,[Basic Set with Storage Case]
      1809,[Aeroplane]
      1823,[Yacht]
      1824,[Flying Duck]
      1825,[Racing Car]
      1826,[Bird? Boat? Plane?]
      1827,[Helicopter]
      1577,[Basic Set 3+]
      1520,[Basic Building Set with Storage Case]
      1857,[Super Value Brick Pack]
      1859,[Aeroplane]
      1865,[Airliner]
      1869,[South African Flag]
      1701,[Mini Box, 3+]
      1504,[Family Bucket, 3+]
      1874,[Super Scoop]
      1879,[Basic Building Set, 5+]
      1881,[Play Bucket of Bricks, 3+]
      1882,[Large Play Bucket, 3+]
      1884,[Handy Bucket of Bricks, 3+]
      1885,[Play Bucket of Bricks, 3+]
      1676,[Basic Building Set, 3+]
      1679,[Basic Building Set, 5+]
      1912,[Car]
      1913,[Boat]
      1914,[Helicopter]
      1915,[Aircraft]
      4275,[Basic Bucket, Blue]
      1929,[Toy Soldier]
      1953,[Mouse]
      1613,[Basic Set, 3+]
      1513,[Universal Building Set]
      1994,[Basic Building Set 3+]
      20,[Basic Building Set, 3+]
      1819,[Large Bucket]
      1651,[Basic Building Set Trial Size]
      359,[Environment Plate]
      205,[People Set]
      108,[Battery box]
      258,[Zoo (with Baseboard)]
      WEETABIX2,[Windmill]
      WEETABIX3,[House]
      WEETABIX4,[House]
      2121,[Stomper]
      2122,[Bob]
      2123,[Spinner]
      2127,[Nanas]
      2130,[Duck]
      2131,[Hippo]
      2132,[Cow]
      2133,[Bull]
      2134,[Bison]
      900,[Universal Motor Set]
      2135,[Aeroplane]
      2136,[Aeroplane]
      2137,[Swamp Boat]
      2138,[Helicopter]
      2139,[Boat]
      2155,[Water-Plane]
      2156,[Racer]
      1756,[Animals]
      1758,[Animals]
      1767,[Animals]
      1768,[Animals]
      1828,[Animals]
      2157,[Speed Boat]
      2158,[Copter]
      2875,[Mouse]
      2842,[Girl]
      2877,[Snowman]
      2163,[Toucan]
      2164,[Whale]
      2165,[Rhinocerous]
      2166,[Elephant]
      2167,[Penguin]
      2229,[Basic Building Set, 3+]
      1,[Basic Souvenir Box]
      245,[Two Santas]
      1724,[Bird]
      1725,[Dinosaur]
      1726,[Girl]
      1727,[Cow]
      1604,[Basic Set 3+]
      1605,[Basic Set 3+]
      1603,[Basic Set 3+]
      395,[Build-N-Store Chest]
      1619,[Storage Container]
      517,[Basic Building Set 5+]
      537,[Basic Building Set, 5+]
      1715,[Standard Bricks]
      2449,[Basic Building Set, 3+]
      1845,[20th Anniversary Jackpot Bucket]
      392,[Fire Engine]
      1944,[Universal Building Set with Storage Case]
   Supplementaries,[f5480062-18ae-483f-95e3-fb495489c1c0]
      107,[Universal Motor]
      624,[Basic Motor, 9V]
      626,[Building Plate, Green]
      627,[Building Plate, Blue]
      629,[Three Building Plates]
      630,[Brick Separator, Green]
      631,[Doors and Windows]
      632,[Wheels and Tyres]
      633,[Roof Tiles]
      634,[Extra Bricks in Red]
      635,[Extra Bricks in White]
      636,[Pull Back Motor, 3+]
      637,[Play Table]
      638,[Lots of Extra Basic Bricks, 3+]
      639,[Lots of Extra Basic Bricks, 5+]
      745,[Baseplate, Green]
      746,[Baseplates, Green and Yellow]
      747,[Baseplates, Red and Blue]
      786,[Storage Cloth]
      787,[Storage Cloth]
      789,[Storage Cloth]
      800,[Extra Bricks Red]
      801,[Extra Bricks Blue]
      802,[Extra Bricks White]
      803,[Extra Bricks Yellow]
      804,[Extra Bricks Black]
      805,[Extra Bricks Grey]
      806,[Extra Plates Blue]
      807,[Extra Plates Red]
      808,[Wheels and Tyres]
      809,[Doors and Windows]
      810,[Basic Motor Set]
      811,[Red Roof Bricks, Steep Pitch]
      812,[Red Roof Bricks, Shallow Pitch]
      813,[Baseplate, Green]
      814,[Baseplates, Green, Red and Yellow]
      815,[Baseplate, Grey]
      816,[Lighting Bricks, 4.5V]
      818,[Pull-Back Motor, Red]
      819,[Blue baseplate]
      820,[Red Plates Parts Pack]
      821,[Brick Separator, Grey]
      822,[Blue Plates Parts Pack]
      830,[Red Bricks Parts Pack]
      831,[Black Bricks Parts Pack]
      832,[Blue Bricks Parts Pack]
      833,[White Bricks Parts Pack]
      834,[Yellow Bricks Parts Pack]
      836,[Doors and Windows Parts Pack]
      837,[Wheels and Tyres Parts Pack]
      838,[Red Roof Bricks Parts Pack, 45&#176;]
      839,[Red Roof Bricks Parts Pack, 33&#176;]
      840,[Baseplate, Green]
      841,[Baseplates, Green and Yellow]
      842,[Baseplates, Red and Blue]
      843,[Baseplate, Grey]
      845,[Battery Motor, 9V]
      846,[Lighting Set, 9V]
      890,[Wind-Up Motor]
      895,[Wind-Up Motor]
      930,[Red Bricks]
      931,[White Bricks]
      932,[Blue and Yellow Bricks]
      933,[Doors and Windows]
      934,[Roof Bricks, 45&#176;]
      935,[Roof Bricks, 33&#176;]
      936,[Wheels and Tyres]
      937,[Doors and Fences]
      938,[Hinges and Turntables]
      939,[Flags, Trees and Road Signs]
      970,[Lighting Bricks]
      628,[X-Large Baseplate Grey]
      1798,[Building Table]
      940,[Flags, Signs and Trees]
      941,[Black and Clear Bricks]
Jurassic World,[6c3355ed-d7fd-4ab0-b254-5151425e030c]
   ,[0e3c68a4-3451-4a80-b0ad-c8f65b3e7344]
      75915,[Pteranodon Capture]
      75916,[Dilophosaurus Ambush]
      75917,[Raptor Rampage]
      75918,[T-Rex Tracker]
      75919,[Indominus Rex Breakout]
      75920,[Raptor Escape]
      30320,[Gallimimus Trap]
      DRWU,[Dr. Wu]
      TRUJWGATE,[Jurassic World Gate]
Cars,[6d4cf18e-8c23-4fe9-a1af-d310bfdd8bac]
   Promotional,[16586c43-77b2-46d9-a257-40ceec3c7e92]
      TORQUE,[Rod “Torque” Redline]
   ,[21765cd1-fd28-4747-9f0e-590bd536d865]
      8200,[Radiator Springs Lightning McQueen]
      8201,[Radiator Springs Classic Mater]
      8484,[Ultimate Build Lightning McQueen]
      8486,[Mack&#39;s Team Truck]
      8487,[Flo&#39;s V8 Cafe]
   Cars 2,[d73774cc-fbfe-4cb1-bcbb-20d49f02b185]
      8206,[Tokyo Pit Stop]
      8423,[World Grand Prix Racing Rivalry]
      8424,[Mater&#39;s Spy Zone]
      8426,[Escape at Sea]
      8638,[Spy Jet Escape]
      8639,[Big Bentley Bust Out]
      8677,[Ultimate Build Mater]
      8678,[Ultimate Build Francesco]
      8679,[Tokyo International Circuit]
      30121,[Grem]
      30120,[Guido]
      9486,[Oil Rig Escape]
      9484,[Red&#39;s Water Rescue]
      9483,[Agent Mater&#39;s Escape]
      9480,[Finn McMissile]
      9481,[Jeff Gorvette]
      9485,[Ultimate Race Set]
      9478,[Francesco Bernoulli]
      9479,[Ivan Mater]
   Product Collection,[ec8801c1-7e67-4779-9f30-dd2d00430693]
      66409,[Super Pack 3-in-1]
      66386,[Super Pack 3 in 1]
      66387,[3-in-1 Super Pack]
Legends of Chima,[6ef40a64-ac95-4d66-9d10-8de52a9e7983]
   Magazine gift,[099153da-5cef-497a-ab2c-a0a7ffff0996]
      LOC113,[Ewar minifig]
      LOC213,[Razcal minifig]
      LOC114,[Grumlo minifig]
      LOC214,[Speedorz Ramp]
      LOC391403,[Cannon, Chi and Axe]
      LOC471408,[Lennox with Lion Cannon]
      LOC391404,[Worriz]
      LOC391405,[Crocodile Hideout]
      LOC391406,[Crug minifigure with armour and sword]
      LOC391407,[Fire spinner and ramp]
      LOC391409,[Ice Prison]
      LOC391408,[Vornon]
      LOC391410,[Sykor]
      LOC391411,[Shooter]
      LOC391412,[Worriz]
      LOC391501,[Gorzan]
      LOC391502,[Saber-tooth tribe launcher]
      LOC391503,[Lundor]
      LOC391504,[Fire and Ice weapons]
      LOC391505,[Iceklaw]
      LOC391506,[Fire Catapault]
      LOC391507,[Stealthor]
      LOC391508,[Bulkar]
   Tribe Packs,[0ea5fc0b-e46d-4e02-9688-b23cfa5a2773]
      70229,[ Lion Tribe Pack]
      70230,[Ice Bear Tribe Pack]
      70231,[Crocodile Tribe Pack]
      70232,[Saber Tooth Tiger Tribe Pack]
   Product Collection,[246ac3e8-23f0-4051-bf71-da82e39ca910]
      66450,[Super Pack 3-in-1]
      66491,[Super Pack 5 in 1]
    Product Collection,[397b886b-f7e0-421e-bba0-75572e4cd322]
      66474,[LEGO Chima Super Pack]
      66498,[Chi Hyper Laval ]
      66499,[Chi Hyper Gorzan]
      66500,[Chi Hyper Cragger]
   Accessory Sets,[510480ab-ed06-4e73-bd15-8cfbfdac2380]
      850779,[Legends of Chima Minifigure Accessory Set]
      850777,[Legends of Chima Accessory Set]
      850910,[Legends of Chima Minifigure Accessory Set]
      850913,[Fire and Ice Minifigure Accessory Set]
   Fire vs. Ice,[6c1e2029-cd49-4070-a496-f32262259dfa]
      70141,[Vardy&#39;s Ice Vulture Glider]
      70142,[Eris&#39; Fire Eagle Flyer]
      70143,[Sir Fangar&#39;s Sabre-Tooth Walker]
      70145,[Maula&#39;s Ice Mammoth Stomper]
      70146,[Flying Phoenix Fire Temple]
      70144,[Laval&#39;s Fire Lion]
      70135,[Cragger&#39;s Fire Striker]
      70147,[Sir Fangar&#39;s Ice Fortress]
      30265,[Worriz&#39; Fire Bike]
      30264,[Frax&#39; Phoenix Flyer]
      30266,[Sykor&#39;s Ice Cruiser]
      70220,[Strainor&#39;s Saber Cycle]
      70221,[Flinx&#39;s Ultimate Phoenix]
      70222,[Tormak&#39;s Shadow Blazer]
      70223,[Icebite&#39;s Claw Driller]
      70224,[Tiger&#39;s Mobile Command]
      70225,[Bladvic&#39;s Rumble Bear]
      70226,[Mammoth&#39;s Frozen Stronghold]
      70227,[King Crominus&#39; Rescue]
      70228,[Vultrix&#39;s Sky Scavenger]
      30256,[Ice Bear Mech]
   Promotional,[96bc76ab-a693-429f-9987-67055ed089dd]
      6031641,[Lion tribe rip-cord and topper]
      6031640,[Chima Promotional Pack]
      6043191,[Promotional pack]
      6043203,[Croc tribe rip-cord and topper]
      5002115,[Promotional set]
   Outlands,[9d58cfae-cb3c-4421-878b-9e6ddbd11a6a]
      70128,[Braptor&#39;s Wing Striker]
      70129,[Lavertus&#39; Twin Blade]
      70130,[Sparratus&#39; Spider Stalker]
      70131,[Rogon&#39;s Rock Flinger]
      70132,[Scorm&#39;s Scorpion Stinger]
      70133,[Spinlyn&#39;s Cavern]
      70134,[Lavertus&#39; Outland Base]
      30263,[Spider Crawler]
      30262,[Gorzan&#39;s Walker ]
   Speedorz,[a09175b6-71b8-464b-96f6-69373c9a580b]
      70011,[Eagles&#39; Castle]
      70107,[Skunk Attack]
      70108,[Royal Roost]
      70109,[Whirling Vines]
      70110,[Tower Target]
      70111,[Swamp Jump]
      70112,[Croc Chomp]
      70114,[Sky Joust]
      70136,[Banana Bash]
      70137,[Bat Strike]
      70138,[Web Dash]
      70139,[Sky Launch]
      70140,[Stinger Duel]
      70150,[Flaming Claws]
      70151,[Frozen Spikes]
      70152,[Lava Breakout]
      70153,[Fang Trap]
      70154,[Frozen Fortress]
      70155,[Inferno Pit]
      70156,[Fire vs. Ice]
      70149,[Scorching Blades]
      70113,[CHI Battles]
      70100,[Ring of Fire]
      70101,[Target Practice]
      70102,[CHI Waterfall]
      70103,[Boulder Bowling]
      70104,[Jungle Gates]
      70105,[Nest Dive]
      70115,[Ultimate Speedor Tournament]
      70106,[Ice Tower]
   ,[c9c9bf6f-d3c3-4457-86fb-a5f641f19885]
      70007,[Eglor&#39;s Twin Bike]
      70008,[Gorzan&#39;s Gorilla Striker]
      70009,[Worriz&#39;s Combat Lair]
      70010,[The Lion CHI Temple]
      70014,[The Croc Swamp Hideout]
      30250,[Ewar&#39;s Acro Fighter]
      30253,[Leonidas&#39; Jungle Dragster]
      30251,[Winzar&#39;s Pack Patrol]
      30252,[Crug&#39;s Swamp Jet]
      30254,[Razcal&#39;s Double-Crosser]
      30255,[Crawley]
      11904,[Brickmaster Legends of Chima: The Quest for Chi parts]
      70000,[Razcal&#39;s Glider]
      70001,[Crawley&#39;s Claw Ripper]
      70012,[Razar&#39;s CHI Raider]
      70002,[Lennox&#39; Lion Attack]
      70003,[Eris&#39; Eagle Interceptor]
      70004,[Wakz&#39; Pack Tracker]
      70005,[Laval&#39;s Royal Fighter]
      70006,[Cragger&#39;s Command Ship]
      70013,[Equila&#39;s Ultra Striker]
   Constraction,[d6d23668-5037-4e75-9290-f347e326490a]
      70200,[CHI Laval]
      70201,[CHI Eris]
      70202,[CHI Gorzan]
      70203,[CHI Cragger]
      70204,[CHI Worriz]
      70205,[CHI Razar]
      70206,[CHI Laval]
      70207,[CHI Cragger]
      70208,[CHI Panthar]
      70209,[CHI Mungus]
      70210,[CHI Vardy]
      70211,[CHI Fluminox]
      70212,[CHI Sir Fangar]
   Legend Beasts,[ff1af06a-5441-42b2-8f80-f662f62967b0]
      70123,[Lion Legend Beast]
      70124,[Eagle Legend Beast]
      70125,[Gorilla Legend Beast]
      70126,[Crocodile Legend Beast]
      70127,[Wolf Legend Beast]
Ninjago,[6f4a021f-70d5-42e3-b080-b20ccd0c3956]
   Rise of the Snakes,[004678e4-f031-46ae-8b99-063639e3cf62]
      9443,[Rattlecopter]
      9440,[Venomari Shrine]
      9442,[Jay&#39;s Storm Fighter]
      9441,[Kai&#39;s Blade Cycle]
      9444,[Cole&#39;s Tread Assault]
      9445,[Fangpyre Truck Ambush]
      9446,[Destiny&#39;s Bounty]
      9455,[Fangpyre Mech]
      9457,[Fangpyre Wrecking Ball]
   The Final Battle,[1124fca7-8de3-4e00-80b3-4ec584b74d6b]
      70500,[Kai&#39;s Fire Mech]
      70501,[Warrior Bike]
      70502,[Cole&#39;s Earth Driller]
      70503,[The Golden Dragon]
      70504,[Garmatron]
      70505,[Temple of Light]
   Booster pack,[171659a5-fd44-4bf3-b32b-f5cbec15f5ca]
      850632,[Samurai Accessory Set]
      853111,[{Exclusive Weapon Training Set}]
      9553,[Jay ZX]
      9551,[Kendo Cole]
      9552,[Lloyd Garmadon]
      9555,[Mezmo]
      9554,[Zane ZX]
      9557,[Lizaru]
      9556,[Bytar]
   Tournament of Elements,[1df81e9d-39c3-451c-a790-f8d706ca41ca]
      70746,[Condrai Copter Attack]
      70745,[Anacondrai Crusher]
      70747,[Boulder Blaster]
      70748,[Titanium Dragon]
      70749,[Enter the Serpent]
      70750,[Ninja DB X]
      70752,[Jungle Trap]
      70753,[Lava Falls]
      70754,[ElectroMech]
      70755,[Jungle Raider ]
      30291,[Anacondrai Battle Mech]
      30292,[Jay&#39;s Nano Mech]
      70756,[Dojo Showdown]
      30293,[Kai Drifter]
   Possession,[3eb81615-6933-4079-80f3-e5e2aa214ca7]
      70751,[Temple of Airjitzu]
      70730,[Chain Cycle Ambush]
      70733,[ Blaster Bike]
      70734,[Master Wu Dragon]
      70736,[Attack of the Morro Dragon]
      70737,[Titan Mech Battle]
      70738,[Final Flight of Destiny&#39;s Bounty]
      70731,[Jay Walker One]
      70732,[City of Stiix]
      30294,[The Cowler Dragon]
      851342,[Ninja Army Building Set]
   Magazine Gift,[407e0c67-ec53-4736-b8e0-07be6c5626f3]
      NIN891501,[Kai]
      NIN891502,[Krait]
      NIN891503,[Cole]
      NIN891504,[Weapons Rack]
      NIN891505,[Jay minifigure]
      NIN891506,[Ming minifigure]
      NIN891507,[Zane]
      NIN891508,[Anacondrai Hideout]
      NIN891609,[Kai]
      NIN891610,[Clouse]
      NIN891611,[Cole]
      NIN891602,[Squiffy]
   Airjitzu,[58dae077-16ae-4cac-995c-7b5b976888d0]
      70735,[Ronin R.E.X.]
      70739,[Airjitzu Kai Flyer]
      70740,[Airjitzu Jay Flyer]
      70741,[Airjitzu Cole Flyer]
      70742,[Airjitzu Zane Flyer]
      70743,[Airjitzu Morro Flyer]
      70744,[Airjitzu Wrayth Flyer]
   Spinners,[7f444814-958e-40b1-ab13-6c6222a1f5e3]
      2111,[Kai]
      2112,[Cole]
      2113,[Zane]
      2114,[Chopov]
      2115,[Bonezai]
      2116,[Krazi]
      2170,[Cole DX]
      2171,[Zane DX]
      2172,[Nya]
      2173,[Nuckal]
      2257,[Spinjitzu Starter Set]
      2519,[Skeleton Bowling]
      2518,[Nuckal&#39;s ATV]
      2520,[Ninjago Battle Arena]
      2174,[Kruncha]
      2175,[Wyplash]
      2255,[Sensei Wu]
      2256,[Lord Garmadon]
      2521,[Lightning Dragon Battle]
      9579,[Starter Set]
      9558,[Training Set]
      9564,[Snappa]
      9562,[Lasha]
      9563,[Kendo Zane]
      9566,[Samurai X]
      9561,[Kai ZX]
      9567,[Fang-Suei]
      9456,[Spinner Battle Arena]
      9569,[Spitta]
      9570,[NRG Jay]
      9571,[Fangdam]
      9572,[NRG Cole]
      9573,[Slithraa]
      9574,[Lloyd ZX]
      9590,[NRG Zane]
      9591,[Weapon Pack]
   Pilot Season,[904a6bb4-9d5a-4b1a-8069-463809bc4984]
      2258,[Ninja Ambush]
      2259,[Skull Motorbike]
      2260,[Ice Dragon Attack]
      2263,[Turbo Shredder]
      2504,[Spinjitzu Dojo]
      2505,[Garmadon&#39;s Dark Fortress]
      2516,[Ninja Training Outpost]
      2254,[Mountain Shrine]
      2506,[Skull Truck]
      2507,[Fire Temple]
      2508,[Blacksmith Shop]
      2509,[Earth Dragon Defense]
      20020,[BrickMaster - Ninjago]
   Product Collection,[a8fa6e09-db20-4c56-a288-3156471660fa]
      66410,[Super Pack 3-in-1]
      66444,[Super Pack 3-in-1]
      66383,[Super Pack 3 in 1]
      66394,[3-in-1 Super Pack]
   Book Parts,[ab1786f5-61ce-4ecc-a860-842aad92e915]
      11903,[Brickmaster Ninjago: Fight the Power of the Snakes parts]
      11901,[Brickmaster Ninjago parts]
      11909,[Build your own Adventure parts]
   Wu Cru,[ac998c88-d5c9-4774-8670-f3ffb42e01de]
      30424,[{Wu Cru training}]
   Rebooted,[bd450674-f8f4-4054-9f96-0b7b505f6a55]
      70720,[Hover Hunter]
      70721,[Kai Fighter]
      70722,[OverBorg Attack]
      70723,[Thunder Raider]
      70724,[NinjaCopter]
      70725,[Nindroid MechDragon]
      70726,[Destructoid]
      70727,[X-1 Ninja Charger]
      70728,[Battle for Ninjago City]
      5002144,[Ninjago Battle Pack]
   Rise of the Villains,[bfd50f36-6f13-45c5-84b4-fcba524e7bba]
      70588,[Titanium Ninja Tumbler ]
      70589,[Rock Roader]
      70592,[Salvage M.E.C.]
      70595,[Ultra Stealth Raider]
      70596,[Samurai X Cave Chaos]
      70590,[Airjitzu Battle Grounds]
   Search for the Fang Blades,[d3362aac-e26a-4430-9866-7a4ee4c285ac]
      9448,[Samurai Mech]
      9449,[Ultra Sonic Raider]
      9450,[Epic Dragon Battle]
      9447,[Lasha&#39;s Bite Cycle]
   Skybound,[d829bee1-b5eb-45e4-813a-452603ff953f]
      70599,[Cole&#39;s Dragon]
      70600,[Ninja Bike Chase]
      70602,[Jay&#39;s Elemental Dragon]
      70603,[Raid Zeppelin]
      70604,[Tiger Widow Island]
      70601,[Sky Shark]
      70605,[Misfortune&#39;s Keep]
      30421,[Skybound Plane]
      30422,[Kai&#39;s Mini Dragon]
      70591,[Kryptarium Prison Breakout]
      70593,[The Green NRG Dragon]
      70594,[The Lighthouse Siege]
      5004391,[Sky Pirates Battle]
      30423,[{Sky pirate}]
   Promotional,[e473197c-41f2-49c9-80cd-5e587212d085]
      4659640,[Special Edition Card]
      5002919,[Scenery and dagger trap]
      6012298,[Promotional polybag]
      TRUNINJAGO,[Micro Shinto Shrine]
      TRUNINJAGO,[Micro Electromech Robot]
      TRUNINJAGO,[Micro Kai&#39;s Fighter Jet]
      TRUNINJAGO,[Micro Morro Dragon]
      5002920,[{Ninjago Accessory Pack}]
      5003085,[Minifigure pack]
      4636204,[Ninjago promotional item]
      30084,[Jay]
      30080,[Ninja Glider]
      30081,[Skeleton Chopper]
      30082,[Ninja Training]
      30083,[Dragon Fight]
      2856134,[Ninjago Card Shrine]
      30085,[Jumping Snakes]
      30086,[Hidden Sword]
      30087,[Car]
      5000030,[Kendo Jay Booster Pack]
      30088,[Rattla]
      4659612,[Spinner ring]
      850445,[Ninjago Character Card Shrine]
Monster Fighters,[6fad93bd-cd76-4079-b850-277c81e06746]
   ,[71d64498-5d87-440b-981b-0c2d81792a6f]
      9461,[The Swamp Creature]
      9462,[The Mummy]
      9463,[The Werewolf]
      9464,[The Vampyre Hearse]
      9466,[The Crazy Scientist &amp; His Monster]
      9467,[The Ghost Train]
      9468,[Vampyre Castle]
      9465,[The Zombies]
      10228,[Haunted House]
   Promotional,[a7e7745f-6144-4090-9c91-76e536695df8]
      40076,[Zombie Car]
      30201,[Ghost]
      30200,[Zombie chauffeur coffin car]
      5000644,[Monster Fighters promotional pack]
Ultra Agents,[71f70478-f7ee-4f2a-83f2-6c5d80452fc4]
   ,[9b6dff3b-aa62-4f94-8d5f-9751ed71484b]
      70161,[Tremor Track Infiltration]
      70162,[Infearno Interception]
      70163,[Toxikita&#39;s Toxic Meltdown]
      70164,[Hurricane Heist]
      70165,[Ultra Agents Mission HQ]
      70160,[Riverside Raid]
      70166,[Spyclops Infiltration]
      70167,[Invizable Gold Getaway]
      70168,[Drillex Diamond Job]
      70169,[Agent Stealth Patrol]
      70170,[UltraCopter vs. AntiMatter]
      70171,[Ultrasonic Showdown]
      70172,[AntiMatter&#39;s Portal Hideout]
      70173,[Ultra Agents Ocean HQ]
Fusion,[733a593c-62cc-4862-93e5-022aa9d4dd87]
   ,[45ec7063-b594-4514-9248-64a574b4f048]
      21204,[Town Master]
      21205,[Battle Towers]
      21206,[Create and Race]
      21208,[Resort Designer]
Baby,[7361e984-d460-4810-8bc7-889234f2f9a5]
   Disney&#39;s Baby Mickey,[2b817a48-cc39-4c52-a4a4-e25b42e083cb]
      2592,[Baby Mickey &amp; Baby Minnie]
      2593,[Baby Mickey]
      2594,[Baby Mickey &amp; Baby Minnie Playground]
   ,[a5f3e40f-a865-441e-b9eb-1b138e72fa71]
      2973,[Musical Apple]
      2974,[Play Train]
      3160,[Play Plane]
      3161,[Soft Stacking Hen]
      3162,[Take Along Friend]
      3169,[Crib and Mirror Adventure]
      3170,[Light and Sound Stacker]
      3172,[Soft Frog Rattle]
      3173,[Caterpillar Teether]
      3212,[Star Teether]
      3235,[Soft Ladybird and Bee]
      3236,[Roll &#39;n&#39; Play]
      3237,[Stacking Tower]
      3238,[Shape and Colour Sorter]
      1452,[Flower]
      1453,[Butterfly]
      1454,[Stack-n-Learn]
      5453,[Baby Elephant Stacker]
      5454,[Stack &amp; Learn Giraffe]
      5455,[Stacking Jungle Set]
      5458,[Pull Along Duck and Duckling]
      1456,[Squirt Frog]
      1457,[Caterpillar]
      5460,[Happy Flower Rattle &amp; Teether]
      5461,[Shape Sorter House]
      5462,[Bathtime Boat]
      5463,[Play Train]
      5464,[Play Plane]
      5465,[Bendy Caterpillar]
      5436,[Stack &#39;n&#39; Learn]
      2587,[Play Train]
      2077,[My Bumble Bee]
      2468,[My First Rattle]
      2503,[Musical Apple]
      2514,[Activity Friends]
      2517,[My Rattle Friends]
      2522,[Play Book]
      2524,[My Racing Bugs]
      2526,[Tim &amp; Tom&#39;s Adventure]
      2589,[Timmy on Tour Stack &#39;n&#39; Learn]
      2591,[Happy Explorers Stack &#39;n&#39; Learn]
Power Miners,[78ba7eee-f6d7-4cfd-b5ff-0224614c903e]
   Product Collection,[22237bfd-3b2a-4242-824e-0948e4544744]
      66319,[Power Miners Super Pack 3 in 1]
   ,[a594b28a-0a8f-4db6-8d27-fb3b0bea4f40]
      4559385,[{Power Miners Promotional Polybag}]
      4559288,[{Power Miners Promotional Polybag}]
      4559387,[{Power Miners Promotional Polybag}]
      8957,[Mine Mech]
      8958,[Granite Grinder]
      8959,[Claw Digger]
      8961,[Crystal Sweeper]
      8960,[Thunder Driller]
      8956,[Stone Chopper]
      8707,[Boulder Blaster]
      8708,[Cave Crusher]
      8709,[Underground Mining Station]
      8963,[Rock Wrecker]
      8964,[Titanium Command Rig]
      8962,[Crystal King]
      8188,[Fire Blaster]
      8189,[Magma Mech]
      8190,[Claw Catcher]
      8191,[Lavatraz]
   Promotional,[aa6fa129-40a7-4b24-9891-151f165e091f]
      8907,[Rock Hacker]
      8908,[Monster Launcher]
Speed Champions,[7915b00a-6ec6-4176-a85a-282fe469e7a8]
   Porsche,[138af0a9-2f62-4bce-8099-f5488bd398a7]
      75910,[Porsche 918 Spyder]
      75912,[Porsche 911 GT Finish Line]
      75876,[Porsche 919 Hybrid and 917K Pit Lane]
