Master Builder Academy,[0303eccc-899f-4906-a312-3982b48bd44e]
   ,[08b12790-a0fb-4e0a-8c84-2615719e92c1]
      6771,[Ogel Command Striker]
      6772,[Alpha Team Cruiser]
      6773,[Alpha Team Helicopter]
      6774,[Alpha Team ATV]
      6775,[Alpha Team Bomb Squad]
      6776,[Ogel Control Center]
   Mission Deep Freeze,[57f736db-8253-450f-88a7-00771c858ded]
      4742,[Chill Speeder]
      4743,[Ice Blade]
      4744,[Tundra Tracker]
      4745,[Blue Eagle vs. Snow Crawler]
      4746,[Mobile Command Center]
      4748,[Ogel&#39;s Mountain Fortress]
      4774,[Scorpion Orb Launcher]
      4770,[Blizzard Blaster]
   Product Collection,[9732843c-934c-4e7b-b95d-34d7335b00af]
      65118,[Alpha Team Secret Mission Collector&#39;s Pack]
   Mission Deep Sea,[a0571175-8e3c-48a4-a3a7-b52eb3d1f23a]
      3391,[Dash the Diver]
      4788,[Ogel Mutant Ray]
      4789,[Alpha Team Aquatic Mech]
      4790,[Alpha Team Robot Diver]
      4791,[Alpha Team Sub-Surface Scooter]
      4792,[Alpha Team Navigator and ROV]
      4793,[Ogel Shark Sub]
      4794,[Alpha Team Command Sub]
      4795,[Ogel Underwater Base and AT Sub]
      4796,[Ogel Mutant Squid]
      4797,[Ogel Mutant Killer Whale]
      4798,[Evil Ogel Attack]
      4799,[Ogel Drone Octopus]
      4800,[AT Jet Sub]
      1425,[Alpha Team Jet Sub]
      1426,[Alpha Team Wing Diver]
      1427,[Ogel Underwater Slizer]
Vikings,[09840d21-7e5d-4f5c-9242-5a3444d1bc3c]
   ,[aed68b7f-aab8-4473-b6e7-f3d84e1782ed]
      7015,[Viking Warrior challenges the Fenris Wolf]
      7016,[Viking Boat against the Wyvern Dragon]
      7017,[Viking Catapult versus the Nidhogg Dragon ]
      7018,[Viking Ship challenges the Midgard Serpent ]
      7019,[Viking Fortress against the Fafnir Dragon]
      7021,[Viking Double Catapault versus the Armoured Ofnir Dragon]
      7020,[Army of Vikings with Heavy Artillery Wagon]
Building Set with People,[0bd994db-5cf3-4656-b92a-59fad6fdb8bb]
   ,[3a0a8dd1-facf-4eb0-862d-9f8ecc91eaa2]
      268,[Family Room]
      269,[Kitchen]
      276,[Nurse and Child]
      277,[Fireplace]
      278,[Television Room]
      296,[Ladies&#39; Hairdressers]
      297,[Nursery]
      5233,[Bedroom]
      1561,[Airline Staff]
      200,[LEGO Family]
      190,[Farm Set]
      194,[Family]
      195,[Airplane]
      196,[Antique Car]
      197,[Farm Set]
      192,[Policemen]
      330,[Gas Station]
      340,[Fire Trucks]
      256,[Police Officers and Motorcycle]
      210,[Cowboys]
      218,[Firemen]
      254,[Family]
      255,[Farming Scene]
      814,[Tractor]
      211,[Mother and baby with dog]
      212,[Scooter]
      198,[Cowboys]
      199,[Scooter]
      213,[Airplane ride]
      214,[Road repair crew]
      215,[Red Indians]
      217,[Service Station]
      208,[Mother with baby]
      250,[Aeroplane and pilot]
      251,[Windmill with miller and wife]
      252,[Locomotive with driver and passenger]
      230,[Hairdressing Salon]
      231,[Hospital]
      232,[Bungalow]
      253,[Helicopter and Pilot]
      261,[Bathroom]
Pirates,[0ce4544e-42c5-4037-978d-199fe9232b27]
   ,[1c9c74d7-2b10-4e05-b84a-7948c7d68cbb]
      850839,[Classic Pirate Set]
      70409,[Shipwreck Defence]
      70411,[Treasure Island]
      70412,[Soldiers Fort]
      70413,[The Brick Bounty]
      70410,[Soldiers Outpost]
      40158,[Pirates Chess Set]
      6234,[Renegade&#39;s Raft]
      6235,[Buried Treasure]
      6237,[Pirates Plunder]
      6248,[Volcano Island]
      6249,[Pirates Ambush]
      6250,[Cross Bone Clipper]
      6254,[Rocky Reef]
      6255,[Pirates Comic]
      6257,[Castaway&#39;s Raft]
      6258,[Smuggler&#39;s Shanty]
      6260,[Shipwreck Island]
      6261,[Raft Raiders]
      6265,[Sabre Island]
      6268,[Renegade Runner]
      6270,[Forbidden Island]
      6273,[Rock Island Refuge]
      6274,[Caribbean Clipper]
      6276,[Eldorado Fortress]
      6279,[Skull Island]
      6281,[Pirates Perilous Pitfall]
      6285,[Black Seas Barracuda]
      6286,[Skull&#39;s Eye Schooner]
      6289,[Red Beard Runner]
      6290,[Red Beard Runner]
      6291,[Armada Flagship]
      6296,[Shipwreck Island]
      1464,[Pirate Lookout]
      1481,[Pirates Desert Island]
      1492,[Battle Cove]
      10040,[Black Seas Barracuda]
      1696,[Pirate Lookout]
      1713,[Shipwrecked Pirate]
      1733,[Shipwrecked Pirate]
      1747,[Treasure Surprise]
      1788,[Treasure Chest]
      1802,[Tidy Treasure]
      1871,[Pirates Cannon]
      1872,[Soldiers Forge]
      1873,[Pirates Treasure]
      1889,[Pirates Treasure Hold]
      6239,[Cannon Battle]
      6240,[Kraken Attackin&#39;]
      6241,[Loot Island]
      6242,[Soldiers&#39; Fort]
      6243,[Brickbeard&#39;s Bounty]
      1970,[Pirates Gun Cart]
